indice_tiempo,precio_futuro_londres_marzo,precio_futuro_londres_mayo,precio_futuro_londres_agosto,precio_futuro_londres_octubre,precio_futuro_londres_diciembre,precio_futuro_nueva_york_marzo,precio_futuro_nueva_york_mayo,precio_futuro_nueva_york_julio,precio_futuro_nueva_york_octubre
2013-01-02,528.40,532.50,,,,19.69,19.76,19.89,
2013-01-03,514.60,519.90,,,,19.10,19.23,19.40,
2013-01-04,510.40,515.60,,,,18.85,19.00,19.19,
2013-01-05,,,,,,,,,
2013-01-06,,,,,,,,,
2013-01-07,510.80,517.40,,,,18.86,19.08,19.31,
2013-01-08,505.80,513.00,,,,18.67,18.94,19.22,
2013-01-09,507.00,513.80,,,,18.72,18.98,19.26,
2013-01-10,512.50,519.70,,,,18.96,19.21,19.50,
2013-01-11,514.80,521.50,,,,19.17,19.36,19.63,
2013-01-12,,,,,,,,,
2013-01-13,,,,,,,,,
2013-01-14,507.70,515.60,,,,18.90,19.14,19.46,
2013-01-15,502.00,510.50,,,,18.62,18.87,19.23,
2013-01-16,499.60,507.60,,,,18.45,18.68,19.06,
2013-01-17,497.50,505.00,,,,18.42,18.60,18.92,
2013-01-18,492.00,502.10,,,,18.37,18.52,18.84,
2013-01-19,,,,,,,,,
2013-01-20,,,,,,,,,
2013-01-21,489.80,500.00,,,,,,,
2013-01-22,483.20,495.10,,,,18.12,18.24,18.55,
2013-01-23,489.60,502.10,,,,18.50,18.53,18.79,
2013-01-24,487.30,500.50,,,,18.49,18.46,18.73,
2013-01-25,486.70,499.70,,,,18.38,18.42,18.76,
2013-01-26,,,,,,,,,
2013-01-27,,,,,,,,,
2013-01-28,494.40,505.80,,,,18.73,18.72,19.04,
2013-01-29,487.80,499.40,,,,18.38,18.44,18.77,
2013-01-30,496.80,506.70,,,,18.71,18.74,19.04,
2013-01-31,499.40,509.20,,,,18.78,18.84,19.14,
2013-02-01,502.50,511.60,,,,18.89,18.93,19.21,
2013-02-02,,,,,,,,,
2013-02-03,,,,,,,,,
2013-02-04,498.50,507.60,,,,18.73,18.77,19.00,
2013-02-05,496.80,506.30,,,,18.56,18.64,18.93,
2013-02-06,492.70,496.60,,,,18.19,18.22,18.49,
2013-02-07,492.70,496.60,,,,18.16,18.20,18.46,
2013-02-08,485.40,496.00,,,,18.14,18.20,18.44,
2013-02-09,,,,,,,,,
2013-02-10,,,,,,,,,
2013-02-11,488.50,500.00,,,,18.44,18.46,18.66,
2013-02-12,484.10,493.10,,,,18.08,18.07,18.28,
2013-02-13,497.30,495.50,,,,18.23,18.20,18.41,
2013-02-14,490.40,492.50,,,,17.94,17.77,17.97,
2013-02-15,490.30,491.20,,,,18.00,17.74,17.89,
2013-02-16,,,,,,,,,
2013-02-17,,,,,,,,,
2013-02-18,497.90,496.40,,,,,,,
2013-02-19,495.60,494.70,,,,18.22,17.96,18.07,
2013-02-20,501.20,499.30,,,,18.35,18.13,18.23,
2013-02-21,498.00,496.96,,,,18.12,17.90,18.07,
2013-02-22,505.50,503.10,,,,18.24,18.15,18.31,
2013-02-23,,,,,,,,,
2013-02-24,,,,,,,,,
2013-02-25,505.50,502.00,,,,18.01,18.09,18.31,
2013-02-26,508.80,503.90,,,,17.79,18.05,18.26,
2013-02-27,513.40,505.40,,,,17.84,18.08,18.25,
2013-02-28,519.70,510.80,,,,18.39,18.46,18.90,
2013-03-01,513.90,502.50,,,,17.91,18.02,18.49,
2013-03-02,,,,,,,,,
2013-03-03,,,,,,,,,
2013-03-04,515.60,504.90,,,,18.08,18.15,18.60,
2013-03-05,516.70,506.80,,,,18.19,18.25,18.67,
2013-03-06,518.20,505.40,,,,18.20,18.17,18.58,
2013-03-07,532.60,516.20,,,,18.77,18.63,18.98,
2013-03-08,534.10,517.60,,,,18.75,18.61,18.91,
2013-03-09,,,,,,,,,
2013-03-10,,,,,,,,,
2013-03-11,535.20,520.30,,,,18.82,18.79,19.09,
2013-03-12,534.80,520.80,,,,18.82,18.75,19.04,
2013-03-13,533.90,519.40,,,,18.80,18.75,19.03,
2013-03-14,537.20,521.30,,,,18.84,18.80,19.07,
2013-03-15,539.40,522.40,,,,18.89,18.85,19.12,
2013-03-16,,,,,,,,,
2013-03-17,,,,,,,,,
2013-03-18,,527.40,512.40,,,,18.29,18.33,18.70
2013-03-19,,529.80,513.60,,,,18.31,18.39,18.80
2013-03-20,,530.60,514.80,,,,18.35,18.42,18.83
2013-03-21,,528.40,510.90,,,,18.21,18.27,18.88
2013-03-22,,527.10,509.50,,,,18.20,18.21,18.60
2013-03-23,,520.70,504.80,,,,,,
2013-03-24,,,,,,,,,
2013-03-25,,513.80,499.00,,,,17.97,18.00,18.43
2013-03-26,,513.80,499.00,,,,17.78,17.82,18.28
2013-03-27,,508.40,497.40,,,,,,
2013-03-28,,503.30,494.20,,,,,,
2013-03-29,,,,,,,,,
2013-03-30,,,,,,,,,
2013-03-31,,,,,,,,,
2013-04-01,,,,,,,17.59,17.66,18.10
2013-04-02,,502.40,495.50,,,,17.69,17.72,18.13
2013-04-03,,504.90,492.00,,,,17.50,17.58,18.01
2013-04-04,,504.40,489.90,,,,17.67,17.69,18.06
2013-04-05,,,,,,,17.65,17.67,18.06
2013-04-06,,,,,,,,,
2013-04-07,,,,,,,,,
2013-04-08,,509.30,492.20,,,,17.70,17.69,18.10
2013-04-09,,506.40,491.40,,,,17.72,17.72,18.11
2013-04-10,,509.90,494.70,,,,17.90,17.88,18.24
2013-04-11,,517.50,497.60,,,,17.84,17.79,18.17
2013-04-12,,522.20,501.90,,,,18.03,17.84,18.21
2013-04-13,,,,,,,,,
2013-04-14,,,,,,,,,
2013-04-15,,519.70,497.30,,,,17.79,17.55,17.93
2013-04-16,,505.60,499.10,,,,18.01,17.87,18.20
2013-04-17,,506.90,499.30,,,,17.85,17.79,18.13
2013-04-18,,502.70,495.20,,,,17.69,17.61,17.98
2013-04-19,,508.80,499.70,,,,17.97,17.88,18.23
2013-04-20,,,,,,,,,
2013-04-21,,,,,,,,,
2013-04-22,,504.00,496.60,,,,17.87,17.74,18.08
2013-04-23,,494.80,486.50,,,,17.06,17.07,17.45
2013-04-24,,499.50,491.50,,,,17.40,17.37,17.75
2013-04-25,,498.60,490.80,,,,17.41,17.38,17.75
2013-04-26,,500.50,493.30,,,,17.36,17.42,17.80
2013-04-27,,,,,,,,,
2013-04-28,,,,,,,,,
2013-04-29,,501.70,495.20,,,,17.49,17.45,17.84
2013-04-30,,505.10,498.50,,,,17.60,17.97,18.85
2013-05-01,,500.10,493.90,,,,17.33,17.72,18.62
2013-05-02,,501.20,497.20,,,,17.60,17.97,18.85
2013-05-03,,496.80,494.00,,,,17.53,17.89,18.77
2013-05-04,,,,,,,,,
2013-05-05,,,,,,,,,
2013-05-06,,,,,,,17.81,18.14,19.01
2013-05-07,,,494.00,493.00,,,17.64,18.00,18.89
2013-05-08,,,487.20,489.20,,,17.47,17.83,18.73
2013-05-09,,,486.20,489.60,,,17.47,17.84,18.77
2013-05-10,,,489.20,491.20,,,17.43,17.79,18.70
2013-05-11,,,,,,,,,
2013-05-12,,,,,,,,,
2013-05-13,,,485.10,487.60,,,17.25,17.63,18.57
2013-05-14,,,478.00,481.00,,,17.02,17.40,18.37
2013-05-15,,,477.60,479.20,,,16.95,17.30,18.25
2013-05-16,,,476.20,476.90,,,16.83,17.17,18.11
2013-05-17,,,477.50,477.70,,18.13,,16.89,17.21
2013-05-18,,,,,,,,,
2013-05-19,,,,,,,,,
2013-05-20,,,474.40,473.70,,18.07,,16.81,17.13
2013-05-21,,,476.30,474.90,,18.17,,16.86,17.22
2013-05-22,,,472.90,470.40,,18.01,,16.65,17.02
2013-05-23,,,474.90,471.70,,18.09,,16.76,17.10
2013-05-24,,,476.40,472.80,,18.16,,16.84,17.19
2013-05-25,,,,,,,,,
2013-05-26,,,,,,,,,
2013-05-27,,,476.40,471.60,,,,,
2013-05-28,,,476.60,471.60,,18.01,,16.72,17.04
2013-05-29,,,475.40,469.40,,17.90,,16.68,16.95
2013-05-30,,,478.00,470.00,,17.87,,16.65,16.93
2013-05-31,,,477.30,469.90,,17.86,,16.55,16.90
2013-06-01,,,,,,,,,
2013-06-02,,,,,,,,,
2013-06-03,,,476.10,467.40,,17.77,,16.43,16.80
2013-06-04,,,476.90,468.50,,17.69,,16.38,16.74
2013-06-05,,,477.80,467.30,,17.65,,16.38,16.70
2013-06-06,,,482.50,469.80,,17.65,,16.48,16.75
2013-06-07,,,481.40,471.30,,17.70,,16.38,16.75
2013-06-08,,,,,,,,,
2013-06-09,,,,,,,,,
2013-06-10,,,479.20,469.20,,17.70,,16.43,16.77
2013-06-11,,,476.40,467.20,,17.63,,16.29,16.67
2013-06-12,,,475.10,464.70,,17.53,,16.21,16.57
2013-06-13,,,473.30,463.50,,17.49,,16.24,16.53
2013-06-14,,,484.40,474.90,,17.96,,16.78,17.09
2013-06-15,,,,,,,,,
2013-06-16,,,,,,,,,
2013-06-17,,,492.00,480.80,,18.08,,16.93,17.25
2013-06-18,,,489.40,476.90,,17.89,,16.76,17.06
2013-06-19,,,495.80,481.80,,18.08,,16.97,17.29
2013-06-20,,,488.10,470.50,,17.46,,16.38,16.66
2013-06-21,,,496.50,477.10,,17.69,,16.74,16.93
2013-06-22,,,,,,,,,
2013-06-23,,,,,,,,,
2013-06-24,,,510.90,485.10,,17.86,,17.01,17.14
2013-06-25,,,517.50,491.10,,18.08,,17.07,17.34
2013-06-26,,,517.80,492.60,,18.08,,17.01,17.33
2013-06-27,,,507.80,486.50,,17.83,,16.47,17.01
2013-06-28,,,502.30,484.70,,17.74,,16.38,16.92
2013-06-29,,,,,,,,,
2013-06-30,,,,,,,,,
2013-07-01,,,499.80,481.20,,17.53,,16.69,17.56
2013-07-02,,,495.60,477.50,,17.37,,16.53,17.40
2013-07-03,,,497.40,476.40,,17.22,,16.42,17.25
2013-07-04,,,496.30,475.10,,17.22,,16.42,17.25
2013-07-05,,,496.10,472.80,,17.07,,16.26,17.09
2013-07-06,,,,,,,,,
2013-07-07,,,,,,,,,
2013-07-08,,,496.00,474.70,,17.11,,16.33,17.15
2013-07-09,,,495.20,475.10,,17.10,,16.34,17.14
2013-07-10,,,484.30,470.30,,17.02,,16.25,17.05
2013-07-11,,,478.80,461.90,,16.89,,16.10,16.90
2013-07-12,,,480.00,461.20,,16.86,,16.06,16.85
2013-07-13,,,,,,,,,
2013-07-14,,,,,,,,,
2013-07-15,,,480.30,463.70,,16.91,,16.16,16.92
2013-07-16,,,483.00,460.60,,16.76,16.76,,16.00
2013-07-17,,,,459.70,457.80,16.78,16.74,,16.08
2013-07-18,,,,463.90,460.70,16.90,16.83,,16.18
2013-07-19,,,,467.80,464.40,16.98,16.91,,16.29
2013-07-20,,,,,,,,,
2013-07-21,,,,,,,,,
2013-07-22,,,,472.00,467.30,17.09,17.03,,16.40
2013-07-23,,,,,,17.02,16.96,,16.34
2013-07-24,,,,474.60,467.40,16.84,16.78,,16.14
2013-07-25,,,,477.10,469.10,17.03,16.95,,16.39
2013-07-26,,,,479.80,470.80,17.06,16.96,,16.47
2013-07-27,,,,,,,,,
2013-07-28,,,,,,,,,
2013-07-29,,,,489.10,479.50,17.43,17.29,,16.92
2013-07-30,,,,,,17.45,17.29,,16.93
2013-07-31,,,,489.20,480.00,17.47,17.30,,16.97
2013-08-01,,,,488.30,479.00,17.36,17.23,,16.83
2013-08-02,,,,490.00,480.10,17.38,17.28,,16.79
2013-08-03,,,,,,,,,
2013-08-04,,,,,,,,,
2013-08-05,,,,485.20,475.20,17.18,17.10,,16.56
2013-08-06,,,,488.30,475.60,17.16,17.08,,16.55
2013-08-07,,,,494.30,481.10,17.39,17.32,,16.78
2013-08-08,,,,493.10,481.60,17.40,17.31,,16.82
2013-08-09,,,,497.90,485.10,17.54,17.45,,16.98
2013-08-10,,,,,,,,,
2013-08-11,,,,,,,,,
2013-08-12,,,,500.20,488.80,17.68,17.57,,17.16
2013-08-13,,,,503.20,490.70,17.73,17.61,,17.25
2013-08-14,,,,504.30,491.50,17.74,17.61,,17.25
2013-08-15,,,,504.50,491.50,17.68,17.55,,17.19
2013-08-16,,,,504.30,488.40,17.48,17.38,,16.94
2013-08-17,,,,,,,,,
2013-08-18,,,,,,,,,
2013-08-19,,,,491.40,478.40,17.10,17.02,,16.53
2013-08-20,,,,488.50,476.50,17.07,17.00,,16.47
2013-08-21,,,,483.70,473.00,16.90,16.83,,16.32
2013-08-22,,,,482.20,472.20,16.83,16.75,,16.28
2013-08-23,,,,483.10,474.20,16.99,16.90,,16.47
2013-08-24,,,,,,,,,
2013-08-25,,,,,,,,,
2013-08-26,,,,483.10,474.20,17.11,17.02,,16.61
2013-08-27,,,,477.90,472.20,16.95,16.86,,16.46
2013-08-28,,,,477.90,472.20,16.93,16.84,,16.44
2013-08-29,,,,476.70,471.70,16.89,16.82,,16.37
2013-08-30,,,,477.90,472.40,16.88,16.82,,16.34
2013-08-31,,,,,,,,,
2013-09-01,,,,,,,,,
2013-09-02,,,,477.80,472.40,,,,
2013-09-03,,,,479.00,473.30,17.03,16.94,,16.47
2013-09-04,,,,480.10,472.50,16.96,16.89,,16.38
2013-09-05,,,,484.90,475.50,17.08,17.03,,16.51
2013-09-06,,,,492.80,479.50,17.30,17.23,,16.79
2013-09-07,,,,,,,,,
2013-09-08,,,,,,,,,
2013-09-09,,,,496.10,485.80,17.49,17.39,,17.01
2013-09-10,,,,497.90,490.90,17.63,17.53,,17.18
2013-09-11,,,,497.10,491.90,17.64,17.56,,17.17
2013-09-12,,,,494.50,492.60,17.73,17.65,,17.18
2013-09-13,,,,493.60,492.00,17.68,17.60,,17.09
2013-09-14,,,,,,,,,
2013-09-15,,,,,,,,,
2013-09-16,,,,485.70,480.90,17.53,17.44,,16.94
2013-09-17,,,,,,17.40,17.33,,16.79
2013-09-18,,,,481.10,478.90,17.48,17.41,,16.89
2013-09-19,,,,487.50,484.90,17.74,17.65,,17.17
2013-09-20,,,,486.40,484.20,17.74,17.65,,17.18
2013-09-21,,,,,,,,,
2013-09-22,,,,,,,,,
2013-09-23,484.10,,,,486.00,17.76,17.68,,17.25
2013-09-24,485.70,,,,486.90,17.93,17.82,,17.42
2013-09-25,489.40,,,,490.80,18.19,18.08,,17.62
2013-09-26,488.80,,,,488.60,18.19,18.08,,17.51
2013-09-27,478.80,,,,478.90,17.74,17.67,,16.87
2013-09-28,,,,,,,,,
2013-09-29,,,,,,,,,
2013-09-30,486.60,,,,486.10,18.14,18.07,,17.48
2013-10-01,489.90,,,,488.70,18.23,18.14,,18.32
2013-10-02,493.50,,,,492.20,18.38,18.26,,18.51
2013-10-03,493.20,,,,491.20,18.52,18.40,18.30,
2013-10-04,493.40,,,,492.00,18.48,18.38,18.28,
2013-10-05,,,,,,,,,
2013-10-06,,,,,,,,,
2013-10-07,495.90,,,,497.50,18.59,18.49,18.39,
2013-10-08,495.30,,,,497.40,18.62,18.52,18.44,
2013-10-09,494.00,,,,497.20,18.59,18.47,18.37,
2013-10-10,494.00,,,,497.20,18.72,18.61,18.51,
2013-10-11,502.30,,,,506.70,18.93,18.80,18.68,
2013-10-12,,,,,,,,,
2013-10-13,,,,,,,,,
2013-10-14,504.40,,,,508.10,19.05,18.91,18.78,
2013-10-15,497.20,,,,500.10,18.70,18.59,18.47,
2013-10-16,504.00,,,,506.90,19.01,18.86,18.71,
2013-10-17,504.30,,,,506.30,19.00,18.84,18.69,
2013-10-18,514.50,,,,513.80,19.50,19.22,18.96,
2013-10-19,,,,,,,,,
2013-10-20,,,,,,,,,
2013-10-21,511.90,,,,511.90,19.42,19.16,18.93,
2013-10-22,513.20,,,,513.80,19.45,19.18,18.96,
2013-10-23,510.00,,,,509.00,19.28,19.05,18.87,
2013-10-24,503.40,,,,502.30,18.97,18.79,18.63,
2013-10-25,504.90,,,,503.30,19.03,18.85,18.67,
2013-10-26,,,,,,,,,
2013-10-27,,,,,,,,,
2013-10-28,501.60,,,,499.70,18.91,18.73,18.55,
2013-10-29,491.30,,,,488.80,18.45,18.31,18.16,
2013-10-30,489.00,,,,485.10,18.32,18.21,18.08,
2013-10-31,488.30,,,,483.30,18.32,18.19,18.05,
2013-11-01,485.70,,,,481.30,18.25,18.10,17.93,
2013-11-02,,,,,,,,,
2013-11-03,,,,,,,,,
2013-11-04,486.30,,,,485.60,18.32,18.16,17.99,
2013-11-05,484.50,,,,483.50,18.26,18.09,17.91,
2013-11-06,482.80,,,,480.00,18.10,17.97,17.82,
2013-11-07,480.70,,,,475.10,18.04,17.91,17.76,
2013-11-08,480.30,,,,473.60,18.08,17.95,17.80,
2013-11-09,,,,,,,,,
2013-11-10,,,,,,,,,
2013-11-11,478.20,,,,469.80,17.97,17.84,17.68,
2013-11-12,474.90,,,,464.00,17.87,17.75,17.61,
2013-11-13,471.20,,,,457.50,17.80,17.69,17.56,
2013-11-14,468.10,,,,450.00,17.64,17.55,17.46,
2013-11-15,464.30,,,,452.80,17.55,17.50,17.45,
2013-11-16,,,,,,,,,
2013-11-17,,,,,,,,,
2013-11-18,469.25,474.99,,,,17.66,17.67,17.60,
2013-11-19,469.20,475.00,,,,17.65,17.59,17.55,
2013-11-20,468.30,474.30,,,,17.60,17.60,17.60,
2013-11-21,467.40,474.10,,,,17.51,17.58,17.63,
2013-11-22,464.10,470.60,,,,17.40,17.47,17.52,
2013-11-23,,,,,,,,,
2013-11-24,,,,,,,,,
2013-11-25,462.60,469.10,,,,17.32,17.40,17.45,
2013-11-26,461.50,469.20,,,,17.30,17.38,17.41,
2013-11-27,460.40,467.40,,,,17.22,17.32,17.38,
2013-11-28,461.10,467.30,,,,,,,
2013-11-29,464.00,469.70,,,,17.15,17.24,17.30,
2013-11-30,,,,,,,,,
2013-12-01,,,,,,,,,
2013-12-02,455.00,462.90,,,,16.97,17.09,17.18,
2013-12-03,452.10,460.10,,,,16.81,16.94,17.06,
2013-12-04,450.00,457.20,,,,16.68,16.80,16.92,
2013-12-05,449.90,457.30,,,,16.69,16.80,16.91,
2013-12-06,448.70,456.20,,,,16.59,16.72,16.87,
2013-12-07,,,,,,,,,
2013-12-08,,,,,,,,,
2013-12-09,448.10,455.00,,,,16.55,16.68,16.82,
2013-12-10,451.40,458.30,,,,16.62,16.77,16.90,
2013-12-11,449.10,455.80,,,,16.51,16.55,16.78,
2013-12-12,445.20,452.50,,,,16.30,16.44,16.58,
2013-12-13,443.90,450.50,,,,16.27,16.40,16.53,
2013-12-14,,,,,,,,,
2013-12-15,,,,,,,,,
2013-12-16,443.30,449.90,,,,16.27,16.39,16.53,
2013-12-17,435.80,443.50,,,,15.96,16.10,16.28,
2013-12-18,433.40,441.00,,,,15.89,16.03,16.24,
2013-12-19,438.80,446.70,,,,16.15,16.29,16.45,
2013-12-20,446.50,454.20,,,,16.45,16.56,16.72,
2013-12-21,,,,,,,,,
2013-12-22,,,,,,,,,
2013-12-23,441.70,449.60,,,,,,,
2013-12-24,443.40,451.00,,,,,,,
2013-12-25,,,,,,,,,
2013-12-26,,,,,,16.29,16.43,16.62,
2013-12-27,447.00,454.50,,,,16.43,16.56,16.73,
2013-12-28,,,,,,,,,
2013-12-29,,,,,,,,,
2013-12-30,,,,,,,,,
2013-12-31,,,,,,,,,
2014-01-01,,,,,,,,,
2014-01-02,445.40,452.10,,,,16.29,16.44,16.64,
2014-01-03,440.40,447.40,,,,16.08,16.24,16.46,
2014-01-04,,,,,,,,,
2014-01-05,,,,,,,,,
2014-01-06,,,,,,16.08,16.25,16.47,
2014-01-07,439.50,446.50,,,,16.06,16.22,16.42,
2014-01-08,432.30,439.90,,,,15.74,15.93,16.17,
2014-01-09,425.60,433.90,,,,,,,
2014-01-10,426.40,434.70,,,,15.57,15.72,15.94,
2014-01-11,,,,,,,,,
2014-01-12,,,,,,,,,
2014-01-13,427.50,435.50,,,,15.60,15.74,15.96,
2014-01-14,424.00,432.30,,,,15.49,15.66,15.88,
2014-01-15,416.60,425.90,,,,15.23,15.42,15.68,
2014-01-16,418.50,429.40,,,,15.45,15.62,15.86,
2014-01-17,412.30,423.80,,,,15.22,15.40,15.67,
2014-01-18,,,,,,,,,
2014-01-19,,,,,,,,,
2014-01-20,413.30,424.20,,,,15.22,15.40,15.67,
2014-01-21,408.70,420.70,,,,15.22,15.41,15.69,
2014-01-22,404.50,417.20,,,,15.03,15.25,15.58,
2014-01-23,405.30,417.50,,,,15.04,15.26,15.58,
2014-01-24,407.00,417.90,,,,15.11,15.29,15.58,
2014-01-25,,,,,,,,,
2014-01-26,,,,,,,,,
2014-01-27,402.50,412.80,,,,14.80,15.03,15.37,
2014-01-28,408.50,417.40,,,,15.02,15.23,15.55,
2014-01-29,403.10,411.90,,,,14.74,14.95,15.28,
2014-01-30,409.30,417.40,,,,14.99,15.20,15.53,
2014-01-31,424.00,429.80,,,,15.55,15.76,16.03,
2014-02-01,,,,,,,,,
2014-02-02,,,,,,,,,
2014-02-03,426.70,433.10,,,,15.74,15.94,16.21,
2014-02-04,435.20,440.50,,,,16.06,16.32,16.62,
2014-02-05,439.60,442.30,,,,16.10,16.38,16.65,
2014-02-06,434.80,437.80,,,,15.85,16.12,16.41,
2014-02-07,435.40,436.50,,,,15.73,16.02,16.32,
2014-02-08,,,,,,,,,
2014-02-09,,,,,,,,,
2014-02-10,438.90,434.00,,,,15.64,15.93,16.26,
2014-02-11,438.80,433.80,,,,15.46,15.73,16.07,
2014-02-12,453.60,446.30,,,,15.81,16.11,16.42,
2014-02-13,450.60,443.20,,,,15.66,16.04,16.36,
2014-02-14,,441.50,,,447.30,15.63,15.99,16.31,
2014-02-15,,,,,,,,,
2014-02-16,,,,,,,,,
2014-02-17,,444.20,,,449.90,,,,
2014-02-18,,455.90,,,459.30,16.16,16.50,16.73,
2014-02-19,,462.00,,,466.10,16.46,16.85,17.06,
2014-02-20,,458.40,,,463.70,16.33,16.69,16.94,
2014-02-21,,465.90,,,470.90,16.72,17.07,17.29,
2014-02-22,,,,,,,,,
2014-02-23,,,,,,,,,
2014-02-24,,477.30,,,482.00,17.41,17.68,17.78,
2014-02-25,,476.60,,,481.50,17.34,17.68,17.79,
2014-02-26,,476.00,,,480.80,17.29,17.67,17.73,
2014-02-27,,483.50,,,487.90,17.44,18.07,18.08,
2014-02-28,,476.30,,,482.30,16.47,17.66,17.79,
2014-03-01,,,,,,,,,
2014-03-02,,,,,,,,,
2014-03-03,,477.80,,485.30,,,17.80,17.98,18.31
2014-03-04,,476.50,,484.10,,,17.74,17.94,18.27
2014-03-05,,485.10,,492.80,,,18.23,18.36,18.64
2014-03-06,,485.70,,494.40,,,18.32,18.50,18.79
2014-03-07,,475.40,,486.30,,,18.01,18.21,18.54
2014-03-08,,,,,,,,,
2014-03-09,,,,,,,,,
2014-03-10,,478.10,,488.20,,,18.22,18.36,18.64
2014-03-11,,471.00,,481.60,,,18.03,18.22,18.55
2014-03-12,,461.90,,473.90,,,17.67,17.92,18.28
2014-03-13,,463.70,,477.20,,,17.82,18.09,18.46
2014-03-14,,457.10,,467.50,,,17.25,17.61,18.01
2014-03-15,,,,,,,,,
2014-03-16,,,,,,,,,
2014-03-17,,453.50,,464.20,,,17.05,17.40,17.80
2014-03-18,,456.10,,467.10,,,17.14,17.48,17.88
2014-03-19,,459.60,,470.80,,,17.32,17.65,18.05
2014-03-20,,454.00,,466.70,,,17.05,17.39,17.81
2014-03-21,,448.70,,461.70,,,16.83,17.20,17.65
2014-03-22,,,,,,,,,
2014-03-23,,,,,,,,,
2014-03-24,,450.20,,462.40,,,16.84,17.21,17.66
2014-03-25,,453.60,,465.20,,,16.97,17.36,17.82
2014-03-26,,463.40,,474.50,,,17.36,17.74,18.19
2014-03-27,,477.70,,487.60,,,17.87,18.21,18.62
2014-03-28,,478.00,,488.90,,,17.98,18.27,18.66
2014-03-29,,,,,,,,,
2014-03-30,,,,,,,,,
2014-03-31,,468.70,,481.00,,,17.77,18.13,18.55
2014-04-01,,458.50,473.00,,,,17.18,17.61,18.10
2014-04-02,,453.50,468.80,,,,16.97,17.44,17.94
2014-04-03,,460.20,472.90,,,,17.18,17.61,18.09
2014-04-04,,463.90,476.30,,,,17.35,17.79,18.28
2014-04-05,,,,,,,,,
2014-04-06,,,,,,,,,
2014-04-07,,455.80,469.50,,,,16.94,17.51,18.04
2014-04-08,,460.40,475.40,,,,17.16,17.78,18.30
2014-04-09,,454.70,470.70,,,,17.04,17.63,18.19
2014-04-10,,448.90,470.30,,,,17.08,17.68,18.24
2014-04-11,,436.00,465.90,,,,16.80,17.46,18.07
2014-04-12,,,,,,,,,
2014-04-13,,,,,,,,,
2014-04-14,,423.20,463.70,,,,16.59,17.32,17.96
2014-04-15,,442.20,467.40,,,,16.56,17.47,18.10
2014-04-16,,,470.40,479.40,,,16.92,17.69,18.33
2014-04-17,,,464.00,472.80,,,16.66,17.33,18.02
2014-04-18,,,,,,,,,
2014-04-19,,,,,,,,,
2014-04-20,,,,,,,,,
2014-04-21,,,,,,,16.84,17.53,18.19
2014-04-22,,,472.20,481.80,,,16.99,17.62,18.30
2014-04-23,,,479.80,488.30,,,17.42,17.98,18.60
2014-04-24,,,476.10,484.80,,,17.12,17.74,18.40
2014-04-25,,,477.60,486.00,,,17.20,17.85,18.53
2014-04-26,,,,,,,,,
2014-04-27,,,,,,,,,
2014-04-28,,,471.90,478.90,,,16.94,17.56,18.24
2014-04-29,,,473.40,479.70,,,17.04,17.57,18.24
2014-04-30,,,,,,,17.24,17.72,18.35
2014-05-01,,,478.40,483.50,,,17.80,18.43,19.21
2014-05-02,,,470.50,476.10,,,17.45,18.11,18.89
2014-05-03,,,,,,,,,
2014-05-04,,,,,,,,,
2014-05-05,,,,,,,17.47,18.14,18.92
2014-05-06,,,466.60,471.20,,,17.20,17.88,18.68
2014-05-07,,,468.70,473.70,,,17.26,17.96,18.78
2014-05-08,,,469.20,473.60,,18.74,,17.24,17.94
2014-05-09,,,469.20,473.00,,18.71,,17.20,17.90
2014-05-10,,,,,,,,,
2014-05-11,,,,,,,,,
2014-05-12,,,473.30,475.00,,18.78,,17.29,17.98
2014-05-13,,,485.80,486.30,,19.21,,17.80,18.46
2014-05-14,,,494.40,495.60,,19.58,,18.25,18.88
